Name,Birthplace,Role,Lat,Lon
Jon McIsaac,"Truro, Nova Scotia",Referee,45.366668,-63.300006
Chris Schlenker,"Medicine Hat, Alberta",Referee,50.04303,-110.679016
Wes McCauley,"Georgetown, Ontario",Referee,43.650265,-79.903606
Chris Rooney,"Boston, Massachusetts",Referee,42.3600825,-71.0588801
Francis Charron,"Ottawa, Ontario",Referee,45.421144,-75.690057
Garrett Rank,"Elmira, Ontario",Referee,43.6,-80.557654
Francois St Laurent,"Greenfield Park, Quebec",Referee,45.492662,-73.48705
Dan O'Rourke,"Calgary, Alberta",Referee,51.046095,-114.065465
Kyle Rehman,"Red Deer, Alberta",Referee,52.26974,-113.818177
Kelly Sutherland,"Richmond, British Columbia",Referee,49.163168,-123.137414
Justin St Pierre,"Dolbeau, Quebec",Referee,45.544913,-73.487476
Furman South,"Sewickley, Pennsylvania",Referee,40.536457,-80.184503
Trevor Hanson,"Richmond, British Columbia",Referee,49.163168,-123.137414
Jean Hebert,"Bouctouche, New Brunswick",Referee,46.473512,-64.723615
Brian Pochmara,"Detroit, Michigan",Referee,42.331427,-83.0457538
Frederick L'Ecuyer,"St-Tite, Quebec",Referee,46.729742,-72.562294
Tom Chmielewski,"Scott AFB, Illinois",Referee,38.533264,-89.870831
Gord Dwyer,"Sackville, Nova Scotia",Referee,44.645754,-63.5759142
Mitch Dunning,"Tecumseh, Ontario",Referee,42.311795,-82.886197
TJ Luxmore,"Timmins, Ontario",Referee,48.477473,-81.330414
Ghislain Hebert,"Bathurst, New Brunswick",Referee,47.626529,-65.654297
Corey Syvret,"Millgrove, Ontario",Referee,43.336416,-79.958496
Graham Skilliter,"Songe, Saskatchewan",Referee,50.433113,-104.615376
Marc Joannette,"Verdun, Quebec",Referee,45.459078,-73.573177
Jake Brenk,"Detroit Lakes, Minnesota",Referee,46.817181,-95.845325
Eric Furlatt,"Trois-Rivieres, Quebec",Referee,46.332706,-72.556458
Chris Lee,"St. John, New Brunswick",Referee,45.268853,-66.061998
Ian Walsh,"Philadelphia, Pennsylvania",Referee,39.952724,-75.163526
Kendrick Nicholson,"Milverton, Ontario",Referee,43.565844,-80.922172
Michael Markovic,"Scarborough, Ontario",Referee,43.772974,-79.257648
Kevin Pollock,"Kincardine, Ontario",Referee,44.177638,-81.634871
Pierre Lambert,"Hubert, Quebec",Referee,45.4886734,-73.4875521
Peter MacDougall,"Lumsden, Saskatchewan",Referee,50.646302,-104.865936
Brandon Blandina,"Centennial, Colorado",Referee,39.579155,-104.876923
Steve Kozari,"Penticton, British Columbia",Referee,49.494891,-119.594421
Scott Cherrey,"Drayton, Ontario",Linesman,43.755055,-80.671134
Andrew Smith,"Kitchener, Ontario",Linesman,43.451291,-80.492782
Shandor Alphonso,"Orangeville, Ontario",Linesman,43.919317,-80.097375
Bevan Mills,"Surrey, British Columbia",Linesman,49.191303,-122.849144
Kyle Flemington,"Parkhill, Ontario",Linesman,43.16228,-81.684217
Julien Fournier,"Gatineau, Quebec",Linesman,45.427902,-75.711057
Ryan Gibbons,"Vancouver, British Columbia",Linesman,49.279862,-123.116838
Steve Barton,"Vankleek Hill, Ontario",Linesman,45.519609,-74.651967
Libor Suchanek,"Stod, Czech Republic",Linesman,49.639089,13.164736
James Tobias,"Buffalo, New York",Linesman,42.886717,-78.878392
Brandon Gawryletz,"Trail, British Columbia",Linesman,49.094451,-117.709537
Tommy Hughes,"London, Ontario",Linesman,42.983675,-81.249607
Travis Gawryletz,"Trail, British Columbia",Linesman,49.094451,-117.709537
CJ Murray,"Upper St. Clair, Pennsylvania",Linesman,40.335903,-80.083388
Derek Nansen,"Ottawa, Ontario",Linesman,45.421144,-75.690057
Brad Kovachik,"Woodstock, Ontario",Linesman,43.130111,-80.756298
Trent Knorr,"Powell River, British Columbia",Linesman,49.835676,-124.524412
Michel Cormier,"St-Louis-de-France, Quebec",Linesman,46.8164153,-71.3054046
Caleb Apperson,"Kitchener, Ontario",Linesman,43.451291,-80.492782
Kiel Murchison,"Cloverdale, British Columbia",Linesman,49.116185,-122.721485
Jonathan Deschamps,"St-Louis-de-France, Quebec",Linesman,46.8164153,-71.3054046
Ryan Daisy,"Mansfield, Massachusetts",Linesman,42.033433,-71.218941
Ryan Galloway,"Winnipeg, Manitoba",Linesman,49.895537,-97.138458
Matt Macpherson,"Antigonish, Nova Scotia",Linesman,45.621361,-61.990493
Jesse Marquis,"Bouctouche, New Brunswick",Linesman,46.473512,-64.723615
Devin Berg,"Gadshill, Ontario",Linesman,43.44925849,-80.92688978
Tyson Baker,"St. Mary's, Ontario",Linesman,43.259456,-81.142195
Travis Toomey,"Leduc, Alberta",Linesman,53.260783,-113.551168
Ben O'Quinn,"Woodstock, Ontario",Linesman,43.130111,-80.756298
Mark Shewchyk,"Hamilton, Ontario",Linesman,43.25608,-79.872858
Kilian McNamara,"Lantana, Florida",Linesman,26.586531,-80.052166
Bryan Pancich,"Great Falls, Montana",Linesman,47.504885,-111.29189
Jonny Murray,"Beauport, Quebec",Linesman,46.900148,-71.207842
David Brisebois,"Sudbury, Ontario",Linesman,46.49272,-80.991211
